Title,Number of review,Category,Review Comment,Popular food,Online Order,length,word_count,sentiment_score,subjectivity_score,sentiment_class,sentiment_intensity,length_quartile,performance_category
All Stars Sports Bar & Grill,21,"Bar, Pub","“The fries were terrific also, hot crisp...”",Fries,Yes,44,7,0.16666666666666666,0.7555555555555555,Positive,0.16666666666666666,Long,"Needs Improvement (Low Sentiment, Low Volume)"
Olio e Piu,2998,"Italian, Pizza",“I love the food and our server Maria!”,Filet Mignon,Yes,39,8,0.625,0.6,Positive,0.625,Medium,"Stars (High Sentiment, High Volume)"
Boucherie West Village,1465,"French, Steakhouse",“The filet mignon was impeccable and the mussels and steak tartare were also v...”,Lobster,Yes,82,14,0.75,0.75,Positive,0.75,Long,"Stars (High Sentiment, High Volume)"
Club A Steakhouse,4413,"American, Steakhouse","“My seafood cocktail had wonderful large lump crabmeat, delicious lobster and...”",Cacio E Pepe,Yes,81,11,0.7380952380952381,0.8095238095238096,Positive,0.7380952380952381,Long,"Stars (High Sentiment, High Volume)"
Piccola Cucina Estiatorio,403,"Italian, Sicilian",“penne al pomodoro and bucatini cacio e pepe were delicious.”,Mussels,Yes,61,10,1.0,1.0,Positive,1.0,Long,"Stars (High Sentiment, High Volume)"
Boucherie Union Square,1325,"French, Steakhouse","“Highly recommend the onion soup, mussels and french fries.”",Pizza,Yes,60,9,0.08,0.27,Neutral,0.08,Long,"Popular but Declining (Low Sentiment, High Volume)"
KOBA Korean Bbq,5,"Asian, Korean",“Great food ; good price”,French Onion Soup,Yes,25,5,0.75,0.675,Positive,0.75,Short,"Hidden Gems (High Sentiment, Low Volume)"
Katherine,111,Italian,“Best cocktails”,Mussels,Yes,16,2,1.0,0.3,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Bleecker Street Pizza,1725,"Italian, Pizza",“Worth travelling over 5000 miles for”,Burger,Yes,38,6,0.3,0.1,Positive,0.3,Medium,"Popular but Declining (Low Sentiment, High Volume)"
Numero 28 Pizzeria,1194,"Italian, Pizza","“Incredible Italian, perfect pizza, top...”",Tikka Masala,Yes,43,5,0.6,0.6,Positive,0.6,Long,"Stars (High Sentiment, High Volume)"
SottoCasa Pizzeria,430,"Pizza, Neapolitan",“Splendid pizza”,Crispy Duck,Yes,16,2,0.8333333333333334,1.0,Positive,0.8333333333333334,Very Short,"Stars (High Sentiment, High Volume)"
Los Tacos No. 1,708,"Mexican, Latin",“Excellent”,Breakfast Sandwich,Yes,11,1,1.0,1.0,Positive,1.0,Very Short,"Stars (High Sentiment, High Volume)"
Quality Bistro,67,"French, American","“We had French Onion Soup, which was delicious.”",Arancini,Yes,48,8,0.5,0.5,Positive,0.5,Long,"Stars (High Sentiment, High Volume)"
The Consulate,247,"French, American","“... food is great, especially the mussels, they were so good and fresh!! Abso...”",Lamb,Yes,82,14,0.4921875,0.7125,Positive,0.4921875,Long,"Stars (High Sentiment, High Volume)"
Petite Boucherie,635,French,"“We loved the charcuterie board, the burger, and of course the onion soup and...”",Mussels,Yes,81,14,0.7,0.8,Positive,0.7,Long,"Stars (High Sentiment, High Volume)"
Spice Symphony,2785,"Indian, Healthy",“The chicken tikka masala is my favorite...”,Ceviche,Yes,44,7,-0.04999999999999999,0.975,Neutral,0.04999999999999999,Long,"Popular but Declining (Low Sentiment, High Volume)"
